,dates
213,2019-08-17 00:00:00
214,2019-08-28 00:00:00
215,2019-08-27 00:00:00
216,2020-06-05 00:00:00
217,2019-08-22 00:00:00
218,2020-06-12 00:00:00
219,2019-08-16 00:00:00
220,2019-08-02 00:00:00
221,2019-02-07 00:00:00
222,2019-01-24 00:00:00
223,2019-10-12 00:00:00
224,2019-11-27 00:00:00
225,2019-11-13 00:00:00
226,2019-11-19 00:00:00
227,2019-11-05 00:00:00
228,2019-10-17 00:00:00
229,2019-09-26 00:00:00
230,2019-09-19 00:00:00
231,2019-07-15 00:00:00
232,2019-05-20 00:00:00
233,2019-05-15 00:00:00
234,2019-04-15 00:00:00
235,2019-02-15 00:00:00
236,2020-01-10 00:00:00
237,2019-10-10 00:00:00
238,2019-10-10 00:00:00
239,2019-07-10 00:00:00
240,2020-01-09 00:00:00
241,2019-07-10 00:00:00
242,2020-01-09 00:00:00
243,2019-12-20 00:00:00
244,2019-12-20 00:00:00
245,2020-01-09 00:00:00
246,2019-11-22 00:00:00
247,2020-01-09 00:00:00
248,2019-07-10 00:00:00
249,2019-08-28 00:00:00
250,2019-08-21 00:00:00
251,2019-08-21 00:00:00
252,2018-11-27 00:00:00
253,2020-12-04 00:00:00
254,2021-01-07 00:00:00
255,2019-08-21 00:00:00
256,2019-08-20 00:00:00
257,2019-08-16 00:00:00
258,2019-08-19 00:00:00
259,2019-08-16 00:00:00
260,2019-07-19 00:00:00
261,2019-08-15 00:00:00
262,2019-07-26 00:00:00
263,2020-03-07 00:00:00
264,2020-02-15 00:00:00
265,2020-03-06 00:00:00
266,2020-02-15 00:00:00
267,2020-02-22 00:00:00
268,2019-02-05 00:00:00
269,2019-01-08 00:00:00
270,2019-07-30 00:00:00
271,2019-03-08 00:00:00
272,2019-07-23 00:00:00
273,2018-06-07 00:00:00
274,2018-04-26 00:00:00
275,2018-04-26 00:00:00
276,2018-04-07 00:00:00
277,2018-05-24 00:00:00
278,2020-02-27 00:00:00
279,2019-09-27 00:00:00
280,2020-03-20 00:00:00
281,2019-08-29 00:00:00
282,2019-10-08 00:00:00
283,2019-08-27 00:00:00
284,2020-06-03 00:00:00
285,2020-05-20 00:00:00
286,2020-05-13 00:00:00
287,2018-08-16 00:00:00
288,2019-10-05 00:00:00
289,2019-07-31 00:00:00
290,2019-08-08 00:00:00
291,2019-07-31 00:00:00
292,2019-07-03 00:00:00
293,2020-05-01 00:00:00
294,2019-07-11 00:00:00
295,2019-05-16 00:00:00
296,2019-05-16 00:00:00
297,2019-08-05 00:00:00
298,2019-09-09 00:00:00
299,2019-06-15 00:00:00
300,2018-10-17 00:00:00
301,2018-08-17 00:00:00
302,2018-08-17 00:00:00
303,2019-06-04 00:00:00
304,2019-04-04 00:00:00
305,2019-04-04 00:00:00
306,2019-03-04 00:00:00
307,2019-03-04 00:00:00
308,2019-10-29 00:00:00
309,2019-04-29 00:00:00
310,2019-04-29 00:00:00
311,2019-08-28 00:00:00
312,2019-08-29 00:00:00
313,2019-08-27 00:00:00
314,2019-08-26 00:00:00
315,2019-09-09 00:00:00
316,2019-08-23 00:00:00
317,2019-08-24 00:00:00
318,2021-01-05 00:00:00
319,2019-08-23 00:00:00
320,2019-08-22 00:00:00
321,2019-08-19 00:00:00
322,2019-11-14 00:00:00
323,2019-12-12 00:00:00
324,2019-08-16 00:00:00
325,2019-08-16 00:00:00
326,2019-08-15 00:00:00
327,2019-08-16 00:00:00
328,2019-08-02 00:00:00
329,2019-08-15 00:00:00
330,2019-08-10 00:00:00
331,2018-09-08 00:00:00
332,2020-02-21 00:00:00
333,2020-11-28 00:00:00
334,2020-11-07 00:00:00
335,2020-11-07 00:00:00
336,2019-07-27 00:00:00
337,2019-06-22 00:00:00
338,2020-09-24 00:00:00
339,2020-08-20 00:00:00
340,2019-06-21 00:00:00
341,2019-06-20 00:00:00
342,2020-03-03 00:00:00
343,2020-01-07 00:00:00
344,2019-06-13 00:00:00
345,2019-05-28 00:00:00
346,2019-02-28 00:00:00
347,2019-05-11 00:00:00
348,2019-01-11 00:00:00
349,2019-01-29 00:00:00
350,2018-07-29 00:00:00
351,2019-08-20 00:00:00
352,2021-02-09 00:00:00
353,2019-08-18 00:00:00
354,2019-07-28 00:00:00
355,2019-07-05 00:00:00
356,2019-07-04 00:00:00
357,2019-05-10 00:00:00
358,2019-06-13 00:00:00
359,2020-03-20 00:00:00
360,2020-01-20 00:00:00
361,2019-12-20 00:00:00
362,2019-11-20 00:00:00
363,2019-10-20 00:00:00
364,2019-09-20 00:00:00
365,2019-01-24 00:00:00
366,2018-10-31 00:00:00
367,2019-08-22 00:00:00
368,2019-02-22 00:00:00
369,2019-08-22 00:00:00
370,2021-01-19 00:00:00
371,2019-08-24 00:00:00
372,2019-08-10 00:00:00
373,2021-03-05 00:00:00
374,2021-02-12 00:00:00
375,2019-08-02 00:00:00
376,2019-06-21 00:00:00
377,2019-08-01 00:00:00
378,2019-10-21 00:00:00
379,2020-08-04 00:00:00
380,2019-07-15 00:00:00
381,2019-07-01 00:00:00
382,2019-06-28 00:00:00
383,2019-06-26 00:00:00
384,2019-06-19 00:00:00
385,2018-01-19 00:00:00
386,2019-06-09 00:00:00
387,2020-01-11 00:00:00
388,2019-06-05 00:00:00
389,2019-03-05 00:00:00
390,2019-03-05 00:00:00
391,2019-08-05 00:00:00
392,2019-06-24 00:00:00
393,2019-06-05 00:00:00
394,2019-02-09 00:00:00
395,2018-08-09 00:00:00
396,2019-11-26 00:00:00
397,2019-08-15 00:00:00
398,2019-03-15 00:00:00
399,2019-08-14 00:00:00
400,2019-08-14 00:00:00
401,2019-02-28 00:00:00
402,2019-02-28 00:00:00
403,2020-12-03 00:00:00
404,2020-06-03 00:00:00
405,2019-02-28 00:00:00
406,2019-02-27 00:00:00
407,2019-08-27 00:00:00
408,2018-08-10 00:00:00
409,2019-08-27 00:00:00
410,2018-08-10 00:00:00
411,2019-08-26 00:00:00
412,2019-08-22 00:00:00
413,2018-10-01 00:00:00
414,2018-08-27 00:00:00
415,2019-09-09 00:00:00
416,2019-09-08 00:00:00
417,2019-11-04 00:00:00
418,2020-12-10 00:00:00
419,2019-07-05 00:00:00
420,2018-04-13 00:00:00
421,2017-10-13 00:00:00
422,2020-07-17 00:00:00
423,2019-08-09 00:00:00
424,2019-07-26 00:00:00
425,2019-05-09 00:00:00
426,2019-08-27 00:00:00
427,2018-07-25 00:00:00
428,2018-07-11 00:00:00
429,2018-05-25 00:00:00
430,2018-05-25 00:00:00
431,2018-01-25 00:00:00
432,2019-08-27 00:00:00
433,2019-08-15 00:00:00
434,2019-07-26 00:00:00
435,2019-06-21 00:00:00
436,2019-08-02 00:00:00
437,2019-05-17 00:00:00
438,2020-07-01 00:00:00
439,2020-05-20 00:00:00
440,2019-07-12 00:00:00
441,2018-12-10 00:00:00
442,2018-06-10 00:00:00
443,2018-12-09 00:00:00
444,2019-11-13 00:00:00
445,2019-05-13 00:00:00
446,2019-11-12 00:00:00
447,2019-08-24 00:00:00
448,2018-10-29 00:00:00
449,2019-08-23 00:00:00
450,2019-08-22 00:00:00
451,2021-01-13 00:00:00
452,2019-08-22 00:00:00
453,2019-08-20 00:00:00
454,2019-08-19 00:00:00
455,2019-08-17 00:00:00
456,2019-08-16 00:00:00
457,2019-08-02 00:00:00
458,2019-08-09 00:00:00
459,2019-08-08 00:00:00
460,2019-07-19 00:00:00
461,2019-08-08 00:00:00
462,2019-10-08 00:00:00
463,2019-08-02 00:00:00
464,2019-06-28 00:00:00
465,2018-06-19 00:00:00
466,2020-12-28 00:00:00
467,2020-11-23 00:00:00
468,2019-12-07 00:00:00
469,2019-07-15 00:00:00
470,2019-05-15 00:00:00
471,2019-05-15 00:00:00
472,2019-04-15 00:00:00
473,2019-07-14 00:00:00
474,2020-11-18 00:00:00
475,2020-08-18 00:00:00
476,2019-04-11 00:00:00
477,2019-08-28 00:00:00
478,2019-02-28 00:00:00
479,2019-08-26 00:00:00
480,2019-08-24 00:00:00
481,2019-08-16 00:00:00
482,2020-08-05 00:00:00
483,2019-08-06 00:00:00
484,2019-08-01 00:00:00
485,2019-11-16 00:00:00
486,2020-11-03 00:00:00
487,2020-12-02 00:00:00
488,2020-10-07 00:00:00
489,2020-10-07 00:00:00
490,2019-09-10 00:00:00
491,2019-07-10 00:00:00
492,2019-06-06 00:00:00
493,2019-01-22 00:00:00
494,2018-08-22 00:00:00
495,2019-12-19 00:00:00
496,2019-08-22 00:00:00
497,2019-09-06 00:00:00
498,2019-09-05 00:00:00
499,2019-10-21 00:00:00
500,2019-08-10 00:00:00
501,2018-05-03 00:00:00
502,2019-08-29 00:00:00
503,2018-08-30 00:00:00
504,2019-08-28 00:00:00
505,2019-08-28 00:00:00
506,2019-08-29 00:00:00
507,2019-08-28 00:00:00
508,2019-08-28 00:00:00
509,2019-08-28 00:00:00
510,2019-08-28 00:00:00
511,2019-08-27 00:00:00
512,2019-08-27 00:00:00
513,2019-09-10 00:00:00
514,2019-08-27 00:00:00
515,2019-08-26 00:00:00
516,2019-08-27 00:00:00
517,2019-08-26 00:00:00
518,2019-01-04 00:00:00
519,2019-08-24 00:00:00
520,2019-08-23 00:00:00
521,2019-08-23 00:00:00
522,2019-08-24 00:00:00
523,2019-08-23 00:00:00
524,2019-08-22 00:00:00
525,2019-08-22 00:00:00
526,2019-07-24 00:00:00
527,2019-08-20 00:00:00
528,2019-08-20 00:00:00
529,2019-08-21 00:00:00
530,2019-08-20 00:00:00
531,2019-10-16 00:00:00
532,2019-10-02 00:00:00
533,2019-08-16 00:00:00
534,2019-08-16 00:00:00
535,2019-08-16 00:00:00
536,2019-08-02 00:00:00
537,2020-01-16 00:00:00
538,2019-08-16 00:00:00
539,2019-08-13 00:00:00
540,2019-08-13 00:00:00
541,2019-08-14 00:00:00
542,2020-03-31 00:00:00
543,2021-01-09 00:00:00
544,2020-12-26 00:00:00
545,2019-08-13 00:00:00
546,2019-08-16 00:00:00
547,2019-08-02 00:00:00
548,2019-08-15 00:00:00
549,2019-10-02 00:00:00
550,2019-09-18 00:00:00
551,2020-01-30 00:00:00
552,2019-08-13 00:00:00
553,2019-08-12 00:00:00
554,2019-08-12 00:00:00
555,2019-08-10 00:00:00
556,2019-08-09 00:00:00
557,2019-08-08 00:00:00
558,2019-07-26 00:00:00
559,2018-10-04 00:00:00
560,2018-09-20 00:00:00
561,2020-02-29 00:00:00
562,2020-02-15 00:00:00
563,2020-02-28 00:00:00
564,2019-12-10 00:00:00
565,2019-08-09 00:00:00
566,2019-07-26 00:00:00
567,2019-06-18 00:00:00
568,2019-05-28 00:00:00
569,2019-05-28 00:00:00
570,2019-08-09 00:00:00
571,2019-07-19 00:00:00
572,2020-12-29 00:00:00
573,2020-12-08 00:00:00
574,2019-08-02 00:00:00
575,2019-07-12 00:00:00
576,2019-07-05 00:00:00
577,2019-07-31 00:00:00
578,2019-07-03 00:00:00
579,2020-09-03 00:00:00
580,2019-07-26 00:00:00
581,2019-06-28 00:00:00
582,2019-06-21 00:00:00
583,2019-09-15 00:00:00
584,2019-09-14 00:00:00
585,2020-01-28 00:00:00
586,2019-12-24 00:00:00
587,2019-10-02 00:00:00
588,2019-08-28 00:00:00
589,2019-08-28 00:00:00
590,2019-10-01 00:00:00
591,2019-10-01 00:00:00
592,2019-08-28 00:00:00
593,2019-10-30 00:00:00
594,2021-01-13 00:00:00
595,2020-12-09 00:00:00
596,2020-12-09 00:00:00
597,2020-12-02 00:00:00
598,2019-10-17 00:00:00
599,2019-09-05 00:00:00
600,2019-09-05 00:00:00
601,2019-07-16 00:00:00
602,2020-06-19 00:00:00
603,2020-05-08 00:00:00
604,2020-05-08 00:00:00
605,2020-05-08 00:00:00
606,2019-05-28 00:00:00
607,2019-04-16 00:00:00
608,2019-04-09 00:00:00
609,2019-04-09 00:00:00
610,2019-07-05 00:00:00
611,2019-05-10 00:00:00
612,2019-10-25 00:00:00
613,2019-08-30 00:00:00
614,2019-10-25 00:00:00
615,2019-10-24 00:00:00
616,2020-02-18 00:00:00
617,2019-12-24 00:00:00
618,2019-09-21 00:00:00
619,2019-07-27 00:00:00
620,2019-06-29 00:00:00
621,2019-04-29 00:00:00
622,2019-04-15 00:00:00
623,2019-02-15 00:00:00
624,2019-06-18 00:00:00
625,2019-06-18 00:00:00
626,2019-05-27 00:00:00
627,2019-03-27 00:00:00
628,2019-06-13 00:00:00
629,2018-06-01 00:00:00
630,2020-06-09 00:00:00
631,2020-06-08 00:00:00
632,2019-06-06 00:00:00
633,2019-04-06 00:00:00
634,2019-01-25 00:00:00
635,2019-01-24 00:00:00
636,2020-08-16 00:00:00
637,2020-05-16 00:00:00
638,2020-05-16 00:00:00
639,2019-10-25 00:00:00
640,2019-10-24 00:00:00
641,2019-07-25 00:00:00
642,2019-10-24 00:00:00
643,2019-05-15 00:00:00
644,2019-02-15 00:00:00
645,2019-05-14 00:00:00
646,2019-12-02 00:00:00
647,2019-09-02 00:00:00
