,dates
11672,2018-06-11 00:00:00
11673,2019-07-12 00:00:00
11674,2019-06-21 00:00:00
11675,2019-07-04 00:00:00
11676,2019-07-13 00:00:00
11677,2019-07-12 00:00:00
11678,2019-06-07 00:00:00
11679,2019-11-19 00:00:00
11680,2020-01-04 00:00:00
11681,2019-07-01 00:00:00
11682,2019-07-01 00:00:00
11683,2019-06-30 00:00:00
11684,2019-05-14 00:00:00
11685,2018-08-18 00:00:00
11686,2019-07-04 00:00:00
11687,2019-07-15 00:00:00
11688,2019-07-08 00:00:00
11689,2019-07-01 00:00:00
11690,2019-05-23 00:00:00
11691,2019-06-12 00:00:00
11692,2019-07-12 00:00:00
11693,2020-09-30 00:00:00
11694,2019-01-21 00:00:00
11695,2019-03-22 00:00:00
11696,2020-05-28 00:00:00
11697,2019-07-23 00:00:00
11698,2019-04-25 00:00:00
11699,2020-07-25 00:00:00
11700,2019-06-21 00:00:00
11701,2019-05-17 00:00:00
11702,2019-05-09 00:00:00
11703,2019-07-05 00:00:00
11704,2021-02-12 00:00:00
11705,2019-07-07 00:00:00
11706,2019-06-04 00:00:00
11707,2019-02-05 00:00:00
11708,2019-06-06 00:00:00
11709,2019-06-06 00:00:00
11710,2018-12-14 00:00:00
11711,2018-12-13 00:00:00
11712,2019-07-11 00:00:00
11713,2019-07-03 00:00:00
11714,2019-07-19 00:00:00
11715,2019-06-21 00:00:00
11716,2019-05-31 00:00:00
11717,2019-05-16 00:00:00
11718,2019-07-26 00:00:00
11719,2019-03-08 00:00:00
11720,2019-02-25 00:00:00
11721,2019-07-18 00:00:00
11722,2019-07-16 00:00:00
11723,2019-05-22 00:00:00
11724,2019-07-04 00:00:00
11725,2020-09-16 00:00:00
11726,2019-07-01 00:00:00
11727,2020-03-31 00:00:00
11728,2019-04-10 00:00:00
11729,2018-05-03 00:00:00
11730,2019-06-06 00:00:00
11731,2019-11-05 00:00:00
11732,2019-05-29 00:00:00
11733,2020-04-08 00:00:00
11734,2019-06-21 00:00:00
11735,2020-01-10 00:00:00
11736,2020-01-09 00:00:00
11737,2020-01-09 00:00:00
11738,2019-07-05 00:00:00
11739,2019-07-02 00:00:00
11740,2019-05-28 00:00:00
11741,2019-06-21 00:00:00
11742,2019-07-03 00:00:00
11743,2019-07-15 00:00:00
11744,2019-06-18 00:00:00
11745,2019-07-24 00:00:00
11746,2019-06-19 00:00:00
11747,2019-07-03 00:00:00
11748,2019-07-04 00:00:00
11749,2019-04-05 00:00:00
11750,2019-06-18 00:00:00
11751,2019-07-04 00:00:00
11752,2019-06-11 00:00:00
11753,2019-07-05 00:00:00
11754,2020-07-02 00:00:00
11755,2019-07-11 00:00:00
11756,2019-06-14 00:00:00
11757,2019-06-13 00:00:00
11758,2019-07-03 00:00:00
11759,2019-06-15 00:00:00
11760,2019-07-17 00:00:00
11761,2019-04-25 00:00:00
11762,2019-04-08 00:00:00
11763,2019-07-19 00:00:00
11764,2020-07-16 00:00:00
11765,2019-07-03 00:00:00
11766,2018-06-30 00:00:00
11767,2019-07-05 00:00:00
11768,2019-07-08 00:00:00
11769,2019-07-16 00:00:00
11770,2019-07-10 00:00:00
11771,2020-09-16 00:00:00
11772,2019-06-11 00:00:00
11773,2020-06-12 00:00:00
11774,2019-05-01 00:00:00
11775,2019-04-30 00:00:00
11776,2019-07-08 00:00:00
11777,2019-07-15 00:00:00
11778,2019-07-01 00:00:00
11779,2019-07-05 00:00:00
11780,2019-06-06 00:00:00
11781,2018-09-11 00:00:00
11782,2019-07-09 00:00:00
11783,2019-06-04 00:00:00
11784,2019-05-07 00:00:00
11785,2020-02-18 00:00:00
11786,2020-02-17 00:00:00
11787,2019-07-20 00:00:00
11788,2019-07-19 00:00:00
11789,2020-08-06 00:00:00
11790,2019-06-22 00:00:00
11791,2018-08-16 00:00:00
11792,2019-06-07 00:00:00
11793,2019-06-05 00:00:00
11794,2021-01-14 00:00:00
11795,2021-02-02 00:00:00
11796,2019-05-21 00:00:00
11797,2018-05-19 00:00:00
11798,2020-05-20 00:00:00
11799,2019-06-18 00:00:00
11800,2018-08-24 00:00:00
11801,2019-07-01 00:00:00
11802,2019-07-25 00:00:00
11803,2019-07-09 00:00:00
11804,2019-07-05 00:00:00
11805,2019-07-19 00:00:00
11806,2019-07-15 00:00:00
11807,2019-07-02 00:00:00
11808,2018-10-09 00:00:00
11809,2019-05-24 00:00:00
11810,2019-05-24 00:00:00
11811,2018-03-27 00:00:00
11812,2019-07-17 00:00:00
11813,2019-06-07 00:00:00
11814,2020-02-25 00:00:00
11815,2019-05-03 00:00:00
11816,2018-08-29 00:00:00
11817,2020-03-17 00:00:00
11818,2019-07-05 00:00:00
11819,2018-11-01 00:00:00
11820,2019-07-22 00:00:00
11821,2020-01-15 00:00:00
11822,2019-07-03 00:00:00
11823,2019-07-17 00:00:00
11824,2020-07-07 00:00:00
11825,2019-07-15 00:00:00
11826,2019-07-12 00:00:00
11827,2018-10-11 00:00:00
11828,2019-07-02 00:00:00
11829,2019-07-10 00:00:00
11830,2019-06-07 00:00:00
11831,2019-05-15 00:00:00
11832,2019-05-08 00:00:00
11833,2020-06-08 00:00:00
11834,2019-07-02 00:00:00
11835,2019-07-01 00:00:00
11836,2019-07-02 00:00:00
11837,2019-05-15 00:00:00
11838,2019-05-14 00:00:00
11839,2019-07-23 00:00:00
11840,2019-07-09 00:00:00
11841,2019-07-02 00:00:00
11842,2019-06-21 00:00:00
11843,2020-07-25 00:00:00
11844,2019-05-03 00:00:00
11845,2019-07-09 00:00:00
11846,2019-06-14 00:00:00
11847,2019-07-03 00:00:00
11848,2020-07-02 00:00:00
11849,2019-04-10 00:00:00
11850,2019-05-28 00:00:00
11851,2019-07-11 00:00:00
11852,2020-09-02 00:00:00
11853,2019-06-27 00:00:00
11854,2019-06-22 00:00:00
11855,2019-06-21 00:00:00
11856,2019-07-19 00:00:00
11857,2020-04-23 00:00:00
11858,2019-07-17 00:00:00
11859,2019-07-04 00:00:00
11860,2019-07-17 00:00:00
11861,2019-06-04 00:00:00
11862,2019-05-09 00:00:00
11863,2019-04-10 00:00:00
11864,2019-06-19 00:00:00
11865,2019-06-13 00:00:00
11866,2019-07-11 00:00:00
11867,2019-07-12 00:00:00
11868,2019-07-11 00:00:00
11869,2019-06-12 00:00:00
11870,2019-06-18 00:00:00
11871,2019-06-21 00:00:00
11872,2019-05-20 00:00:00
11873,2019-06-28 00:00:00
11874,2019-05-24 00:00:00
11875,2019-04-29 00:00:00
11876,2019-06-28 00:00:00
11877,2019-05-13 00:00:00
11878,2019-05-15 00:00:00
11879,2019-06-29 00:00:00
11880,2019-06-04 00:00:00
11881,2019-07-26 00:00:00
11882,2019-03-28 00:00:00
11883,2019-07-17 00:00:00
11884,2019-07-08 00:00:00
11885,2019-06-28 00:00:00
11886,2020-08-26 00:00:00
11887,2019-06-18 00:00:00
11888,2020-08-17 00:00:00
11889,2018-06-05 00:00:00
11890,2018-06-04 00:00:00
11891,2018-05-22 00:00:00
11892,2019-07-12 00:00:00
11893,2019-07-10 00:00:00
11894,2019-06-15 00:00:00
11895,2020-07-23 00:00:00
11896,2019-07-09 00:00:00
11897,2019-09-26 00:00:00
11898,2019-10-22 00:00:00
11899,2019-06-12 00:00:00
11900,2019-07-15 00:00:00
11901,2019-07-02 00:00:00
11902,2019-07-05 00:00:00
11903,2019-07-23 00:00:00
11904,2019-06-26 00:00:00
11905,2019-04-10 00:00:00
11906,2019-07-09 00:00:00
11907,2019-05-14 00:00:00
11908,2019-07-11 00:00:00
11909,2020-06-17 00:00:00
11910,2019-06-05 00:00:00
11911,2019-07-16 00:00:00
11912,2019-07-10 00:00:00
11913,2020-11-19 00:00:00
11914,2019-07-06 00:00:00
11915,2020-05-18 00:00:00
11916,2019-06-29 00:00:00
11917,2019-06-01 00:00:00
11918,2019-06-19 00:00:00
11919,2019-06-18 00:00:00
11920,2019-05-14 00:00:00
11921,2019-06-24 00:00:00
11922,2020-07-01 00:00:00
11923,2019-06-19 00:00:00
11924,2019-07-02 00:00:00
11925,2019-07-18 00:00:00
11926,2019-07-12 00:00:00
11927,2019-05-22 00:00:00
11928,2019-07-02 00:00:00
11929,2019-07-19 00:00:00
11930,2019-07-19 00:00:00
11931,2019-06-04 00:00:00
11932,2019-07-03 00:00:00
11933,2019-06-26 00:00:00
11934,2019-12-04 00:00:00
11935,2019-07-23 00:00:00
11936,2019-04-18 00:00:00
11937,2019-06-27 00:00:00
11938,2019-06-12 00:00:00
11939,2019-07-15 00:00:00
11940,2019-07-01 00:00:00
11941,2019-06-18 00:00:00
11942,2019-06-18 00:00:00
11943,2019-07-16 00:00:00
11944,2019-07-19 00:00:00
11945,2019-07-18 00:00:00
11946,2019-07-03 00:00:00
11947,2019-07-16 00:00:00
11948,2019-07-10 00:00:00
11949,2019-06-07 00:00:00
11950,2019-06-21 00:00:00
11951,2019-04-08 00:00:00
11952,2019-07-02 00:00:00
11953,2019-07-01 00:00:00
11954,2019-07-05 00:00:00
11955,2019-06-25 00:00:00
11956,2019-06-10 00:00:00
11957,2019-06-18 00:00:00
11958,2021-01-14 00:00:00
11959,2019-06-28 00:00:00
11960,2019-06-17 00:00:00
11961,2019-01-25 00:00:00
11962,2019-06-28 00:00:00
11963,2020-06-06 00:00:00
11964,2019-07-17 00:00:00
11965,2019-07-04 00:00:00
11966,2019-07-01 00:00:00
11967,2018-12-27 00:00:00
11968,2019-07-20 00:00:00
11969,2019-07-18 00:00:00
11970,2019-06-11 00:00:00
11971,2019-04-11 00:00:00
11972,2019-07-05 00:00:00
11973,2020-08-27 00:00:00
11974,2019-07-16 00:00:00
11975,2021-02-03 00:00:00
11976,2019-05-10 00:00:00
11977,2019-07-01 00:00:00
11978,2019-07-11 00:00:00
11979,2019-05-10 00:00:00
11980,2020-01-28 00:00:00
11981,2019-03-22 00:00:00
11982,2019-03-20 00:00:00
11983,2019-06-05 00:00:00
11984,2019-06-06 00:00:00
11985,2019-03-20 00:00:00
11986,2018-11-29 00:00:00
11987,2018-07-06 00:00:00
11988,2018-07-05 00:00:00
11989,2019-07-10 00:00:00
11990,2019-01-16 00:00:00
11991,2019-07-05 00:00:00
11992,2019-03-09 00:00:00
11993,2019-03-08 00:00:00
11994,2019-07-01 00:00:00
11995,2019-06-07 00:00:00
11996,2019-03-19 00:00:00
11997,2020-04-03 00:00:00
11998,2020-04-02 00:00:00
11999,2019-04-12 00:00:00
12000,2019-04-09 00:00:00
12001,2019-04-26 00:00:00
12002,2019-05-21 00:00:00
12003,2019-07-11 00:00:00
12004,2019-07-03 00:00:00
12005,2019-07-22 00:00:00
12006,2019-06-26 00:00:00
12007,2019-06-17 00:00:00
12008,2019-07-10 00:00:00
12009,2019-04-02 00:00:00
12010,2019-06-18 00:00:00
12011,2019-01-23 00:00:00
12012,2019-06-07 00:00:00
12013,2019-06-17 00:00:00
12014,2020-03-07 00:00:00
12015,2019-05-09 00:00:00
12016,2019-02-06 00:00:00
12017,2019-07-19 00:00:00
12018,2019-07-09 00:00:00
12019,2019-07-25 00:00:00
12020,2019-05-03 00:00:00
12021,2019-07-09 00:00:00
12022,2019-07-05 00:00:00
12023,2019-07-10 00:00:00
12024,2019-06-07 00:00:00
12025,2019-07-06 00:00:00
12026,2019-07-12 00:00:00
12027,2019-07-04 00:00:00
12028,2019-07-05 00:00:00
12029,2019-09-04 00:00:00
12030,2019-03-12 00:00:00
12031,2019-03-12 00:00:00
12032,2019-07-03 00:00:00
12033,2020-02-11 00:00:00
12034,2019-07-15 00:00:00
12035,2019-07-15 00:00:00
12036,2019-06-13 00:00:00
12037,2019-06-18 00:00:00
12038,2019-05-31 00:00:00
12039,2018-12-14 00:00:00
12040,2020-02-21 00:00:00
12041,2019-06-14 00:00:00
12042,2018-12-03 00:00:00
12043,2019-05-17 00:00:00
12044,2019-07-04 00:00:00
12045,2019-06-12 00:00:00
12046,2020-01-21 00:00:00
12047,2019-06-24 00:00:00
12048,2019-06-24 00:00:00
12049,2019-07-02 00:00:00
12050,2019-07-04 00:00:00
12051,2019-07-24 00:00:00
12052,2019-06-07 00:00:00
12053,2020-04-02 00:00:00
12054,2019-07-13 00:00:00
12055,2019-07-12 00:00:00
12056,2019-07-16 00:00:00
12057,2019-07-15 00:00:00
12058,2020-12-11 00:00:00
12059,2019-05-25 00:00:00
12060,2019-06-24 00:00:00
12061,2018-10-06 00:00:00
12062,2020-12-18 00:00:00
12063,2019-07-04 00:00:00
12064,2019-04-19 00:00:00
12065,2019-06-19 00:00:00
12066,2019-06-20 00:00:00
12067,2020-07-31 00:00:00
12068,2019-06-25 00:00:00
12069,2020-04-15 00:00:00
12070,2019-05-30 00:00:00
12071,2019-07-09 00:00:00
12072,2019-07-23 00:00:00
12073,2019-04-26 00:00:00
12074,2019-05-28 00:00:00
12075,2019-06-15 00:00:00
12076,2019-06-19 00:00:00
12077,2019-07-05 00:00:00
12078,2019-07-23 00:00:00
12079,2019-04-05 00:00:00
12080,2019-05-20 00:00:00
12081,2019-07-09 00:00:00
12082,2019-06-25 00:00:00
12083,2020-06-19 00:00:00
12084,2019-05-20 00:00:00
12085,2019-06-29 00:00:00
12086,2019-06-28 00:00:00
12087,2019-06-08 00:00:00
12088,2019-07-19 00:00:00
12089,2019-07-10 00:00:00
12090,2019-06-25 00:00:00
12091,2019-06-25 00:00:00
12092,2019-07-23 00:00:00
12093,2018-10-05 00:00:00
12094,2019-07-01 00:00:00
12095,2019-07-04 00:00:00
12096,2019-07-08 00:00:00
12097,2018-09-07 00:00:00
12098,2019-07-04 00:00:00
12099,2019-06-20 00:00:00
12100,2019-07-19 00:00:00
12101,2019-07-11 00:00:00
12102,2018-09-18 00:00:00
12103,2021-01-11 00:00:00
12104,2018-10-24 00:00:00
12105,2019-07-16 00:00:00
12106,2020-08-13 00:00:00
12107,2019-07-04 00:00:00
12108,2018-11-03 00:00:00
12109,2019-07-05 00:00:00
12110,2020-11-16 00:00:00
12111,2019-07-16 00:00:00
12112,2019-04-24 00:00:00
12113,2020-08-13 00:00:00
12114,2019-07-08 00:00:00
12115,2019-07-10 00:00:00
12116,2019-03-27 00:00:00
12117,2019-03-04 00:00:00
12118,2019-07-17 00:00:00
12119,2020-07-12 00:00:00
12120,2019-06-13 00:00:00
12121,2019-07-20 00:00:00
12122,2019-07-11 00:00:00
12123,2019-06-25 00:00:00
12124,2019-07-19 00:00:00
12125,2019-06-05 00:00:00
12126,2019-06-17 00:00:00
12127,2019-02-11 00:00:00
12128,2019-04-02 00:00:00
12129,2019-06-21 00:00:00
12130,2019-05-09 00:00:00
12131,2020-07-14 00:00:00
12132,2019-06-04 00:00:00
12133,2020-12-23 00:00:00
12134,2019-07-20 00:00:00
12135,2019-07-19 00:00:00
12136,2021-01-23 00:00:00
12137,2019-05-17 00:00:00
12138,2019-07-09 00:00:00
12139,2019-07-08 00:00:00
12140,2019-07-09 00:00:00
12141,2019-06-07 00:00:00
12142,2019-06-17 00:00:00
12143,2019-06-20 00:00:00
12144,2019-05-01 00:00:00
12145,2019-05-01 00:00:00
12146,2019-07-06 00:00:00
12147,2020-08-10 00:00:00
12148,2019-06-14 00:00:00
12149,2019-05-07 00:00:00
12150,2020-07-07 00:00:00
12151,2019-03-12 00:00:00
12152,2019-07-03 00:00:00
12153,2019-07-02 00:00:00
12154,2019-06-25 00:00:00
12155,2019-02-20 00:00:00
12156,2019-05-15 00:00:00
12157,2019-05-31 00:00:00
12158,2019-07-01 00:00:00
12159,2019-07-11 00:00:00
12160,2019-07-04 00:00:00
12161,2018-11-27 00:00:00
12162,2019-05-20 00:00:00
12163,2019-05-17 00:00:00
12164,2019-07-05 00:00:00
12165,2019-06-19 00:00:00
12166,2019-07-05 00:00:00
12167,2019-07-11 00:00:00
12168,2019-06-28 00:00:00
12169,2019-06-27 00:00:00
12170,2019-06-28 00:00:00
12171,2018-10-26 00:00:00
12172,2018-12-13 00:00:00
12173,2019-05-15 00:00:00
12174,2019-05-29 00:00:00
12175,2019-03-27 00:00:00
12176,2019-06-21 00:00:00
12177,2019-05-23 00:00:00
12178,2019-07-12 00:00:00
12179,2019-07-13 00:00:00
12180,2019-12-06 00:00:00
12181,2019-06-26 00:00:00
12182,2019-06-19 00:00:00
12183,2019-05-03 00:00:00
12184,2019-04-11 00:00:00
12185,2019-06-28 00:00:00
12186,2019-04-05 00:00:00
12187,2020-09-22 00:00:00
12188,2019-04-08 00:00:00
12189,2019-09-10 00:00:00
12190,2020-01-16 00:00:00
12191,2020-04-03 00:00:00
12192,2019-06-14 00:00:00
12193,2019-06-13 00:00:00
12194,2019-06-13 00:00:00
12195,2019-06-14 00:00:00
12196,2018-12-10 00:00:00
12197,2021-03-16 00:00:00
12198,2019-06-17 00:00:00
12199,2020-06-05 00:00:00
12200,2019-04-08 00:00:00
12201,2019-06-05 00:00:00
12202,2017-09-22 00:00:00
12203,2019-06-28 00:00:00
12204,2018-11-24 00:00:00
12205,2019-05-13 00:00:00
12206,2019-05-03 00:00:00
12207,2019-03-21 00:00:00
12208,2019-06-24 00:00:00
12209,2019-07-18 00:00:00
12210,2019-05-31 00:00:00
12211,2019-07-23 00:00:00
12212,2019-04-19 00:00:00
12213,2019-06-25 00:00:00
12214,2019-07-09 00:00:00
12215,2019-06-28 00:00:00
12216,2019-06-01 00:00:00
12217,2019-07-11 00:00:00
12218,2019-06-21 00:00:00
12219,2020-07-16 00:00:00
12220,2019-03-11 00:00:00
12221,2019-07-15 00:00:00
12222,2019-04-09 00:00:00
12223,2019-06-21 00:00:00
12224,2019-06-20 00:00:00
12225,2019-07-02 00:00:00
12226,2019-06-24 00:00:00
12227,2020-05-27 00:00:00
12228,2019-07-17 00:00:00
12229,2019-07-02 00:00:00
12230,2019-03-20 00:00:00
12231,2019-09-18 00:00:00
12232,2019-04-09 00:00:00
12233,2019-06-14 00:00:00
12234,2019-09-10 00:00:00
12235,2019-07-22 00:00:00
12236,2019-04-23 00:00:00
12237,2019-07-04 00:00:00
12238,2019-05-29 00:00:00
12239,2019-04-26 00:00:00
12240,2019-04-25 00:00:00
12241,2020-11-06 00:00:00
12242,2019-06-03 00:00:00
12243,2019-05-21 00:00:00
12244,2019-07-03 00:00:00
12245,2019-05-10 00:00:00
12246,2019-07-18 00:00:00
12247,2019-06-26 00:00:00
12248,2019-06-05 00:00:00
12249,2019-06-26 00:00:00
12250,2019-05-20 00:00:00
12251,2019-04-08 00:00:00
12252,2019-07-05 00:00:00
12253,2020-08-27 00:00:00
12254,2019-05-29 00:00:00
12255,2019-07-14 00:00:00
12256,2019-06-26 00:00:00
12257,2019-07-02 00:00:00
12258,2020-08-07 00:00:00
12259,2019-06-26 00:00:00
12260,2019-06-08 00:00:00
12261,2019-02-01 00:00:00
12262,2020-08-22 00:00:00
12263,2019-05-08 00:00:00
12264,2019-05-02 00:00:00
12265,2019-05-30 00:00:00
12266,2019-06-21 00:00:00
12267,2019-07-04 00:00:00
12268,2020-07-10 00:00:00
12269,2020-07-09 00:00:00
12270,2019-07-05 00:00:00
12271,2019-07-11 00:00:00
12272,2020-06-02 00:00:00
12273,2019-03-05 00:00:00
12274,2019-06-06 00:00:00
12275,2019-07-11 00:00:00
12276,2021-02-20 00:00:00
12277,2019-05-17 00:00:00
12278,2019-06-19 00:00:00
12279,2019-06-20 00:00:00
12280,2019-07-05 00:00:00
12281,2019-07-10 00:00:00
12282,2019-07-10 00:00:00
12283,2019-04-30 00:00:00
12284,2020-06-03 00:00:00
12285,2019-06-25 00:00:00
12286,2019-05-10 00:00:00
12287,2020-05-29 00:00:00
12288,2019-06-13 00:00:00
12289,2019-05-16 00:00:00
12290,2019-06-21 00:00:00
12291,2019-05-21 00:00:00
12292,2020-06-30 00:00:00
12293,2019-05-21 00:00:00
12294,2020-05-20 00:00:00
12295,2019-05-23 00:00:00
12296,2020-09-09 00:00:00
12297,2019-05-23 00:00:00
12298,2019-07-09 00:00:00
12299,2019-04-11 00:00:00
12300,2019-06-19 00:00:00
12301,2021-02-02 00:00:00
12302,2019-06-18 00:00:00
12303,2019-07-17 00:00:00
12304,2019-07-03 00:00:00
12305,2019-02-27 00:00:00
12306,2019-07-16 00:00:00
12307,2019-07-10 00:00:00
12308,2016-09-20 00:00:00
12309,2019-06-06 00:00:00
12310,2019-06-05 00:00:00
12311,2019-07-02 00:00:00
12312,2019-06-12 00:00:00
12313,2019-04-01 00:00:00
12314,2019-07-11 00:00:00
12315,2019-06-20 00:00:00
12316,2019-07-17 00:00:00
12317,2020-04-17 00:00:00
12318,2019-07-05 00:00:00
12319,2020-04-09 00:00:00
12320,2019-07-10 00:00:00
12321,2019-06-29 00:00:00
12322,2019-11-06 00:00:00
12323,2020-01-29 00:00:00
12324,2020-02-17 00:00:00
12325,2020-03-31 00:00:00
12326,2020-03-31 00:00:00
12327,2019-06-26 00:00:00
12328,2020-02-28 00:00:00
12329,2019-05-17 00:00:00
12330,2019-05-24 00:00:00
12331,2019-05-03 00:00:00
12332,2019-04-12 00:00:00
12333,2019-06-27 00:00:00
12334,2019-03-27 00:00:00
12335,2018-12-27 00:00:00
12336,2019-07-05 00:00:00
12337,2019-04-26 00:00:00
12338,2019-04-17 00:00:00
12339,2019-06-27 00:00:00
12340,2019-06-19 00:00:00
12341,2019-07-03 00:00:00
12342,2019-07-03 00:00:00
12343,2020-07-01 00:00:00
12344,2019-05-14 00:00:00
12345,2019-06-23 00:00:00
12346,2019-07-12 00:00:00
12347,2020-02-26 00:00:00
12348,2019-04-04 00:00:00
12349,2019-04-09 00:00:00
12350,2019-04-09 00:00:00
12351,2019-06-20 00:00:00
12352,2019-06-05 00:00:00
12353,2019-06-27 00:00:00
12354,2019-06-15 00:00:00
12355,2020-05-14 00:00:00
12356,2019-05-23 00:00:00
12357,2019-05-22 00:00:00
12358,2019-05-23 00:00:00
12359,2019-05-31 00:00:00
12360,2019-05-22 00:00:00
12361,2019-05-21 00:00:00
12362,2019-06-24 00:00:00
12363,2019-06-04 00:00:00
12364,2019-07-09 00:00:00
12365,2019-07-04 00:00:00
12366,2019-06-14 00:00:00
12367,2018-09-25 00:00:00
12368,2019-07-02 00:00:00
12369,2019-06-06 00:00:00
12370,2019-07-13 00:00:00
12371,2019-07-12 00:00:00
12372,2019-09-10 00:00:00
12373,2019-07-08 00:00:00
12374,2019-07-08 00:00:00
12375,2019-05-03 00:00:00
12376,2019-02-06 00:00:00
12377,2019-06-26 00:00:00
12378,2019-06-28 00:00:00
12379,2019-06-14 00:00:00
12380,2019-12-06 00:00:00
12381,2019-12-05 00:00:00
12382,2020-02-05 00:00:00
12383,2019-06-15 00:00:00
12384,2019-06-03 00:00:00
12385,2019-07-04 00:00:00
12386,2019-06-27 00:00:00
12387,2020-09-24 00:00:00
12388,2020-11-19 00:00:00
12389,2019-06-17 00:00:00
12390,2021-01-19 00:00:00
12391,2019-07-23 00:00:00
12392,2019-07-23 00:00:00
12393,2019-05-30 00:00:00
12394,2019-05-28 00:00:00
12395,2019-06-22 00:00:00
12396,2019-06-08 00:00:00
12397,2018-09-26 00:00:00
12398,2019-04-17 00:00:00
12399,2019-07-04 00:00:00
12400,2018-11-06 00:00:00
12401,2018-11-17 00:00:00
12402,2019-07-16 00:00:00
12403,2019-06-16 00:00:00
12404,2019-06-22 00:00:00
12405,2019-07-12 00:00:00
12406,2019-07-15 00:00:00
12407,2019-05-16 00:00:00
12408,2019-03-08 00:00:00
12409,2019-05-16 00:00:00
12410,2021-01-08 00:00:00
12411,2019-07-13 00:00:00
12412,2019-06-25 00:00:00
12413,2020-09-12 00:00:00
12414,2019-05-27 00:00:00
12415,2019-07-09 00:00:00
12416,2020-06-16 00:00:00
12417,2019-07-18 00:00:00
12418,2019-05-10 00:00:00
12419,2019-06-14 00:00:00
12420,2019-07-05 00:00:00
12421,2019-07-05 00:00:00
12422,2019-06-05 00:00:00
12423,2018-10-16 00:00:00
12424,2019-07-11 00:00:00
12425,2019-03-25 00:00:00
12426,2019-04-12 00:00:00
12427,2019-06-21 00:00:00
12428,2019-06-19 00:00:00
12429,2019-06-19 00:00:00
12430,2019-03-15 00:00:00
12431,2020-11-06 00:00:00
12432,2019-06-25 00:00:00
12433,2019-05-14 00:00:00
12434,2019-06-14 00:00:00
12435,2019-06-04 00:00:00
12436,2019-05-10 00:00:00
12437,2019-06-25 00:00:00
12438,2019-01-15 00:00:00
12439,2018-07-19 00:00:00
12440,2019-07-04 00:00:00
12441,2019-11-08 00:00:00
12442,2019-05-03 00:00:00
12443,2019-06-03 00:00:00
12444,2019-06-02 00:00:00
12445,2019-07-18 00:00:00
12446,2019-04-20 00:00:00
12447,2019-04-04 00:00:00
12448,2019-07-04 00:00:00
12449,2019-01-10 00:00:00
12450,2020-07-06 00:00:00
12451,2019-04-24 00:00:00
12452,2019-06-28 00:00:00
12453,2019-06-18 00:00:00
12454,2019-07-18 00:00:00
12455,2019-06-21 00:00:00
12456,2019-07-10 00:00:00
12457,2019-07-02 00:00:00
12458,2019-06-17 00:00:00
12459,2019-07-10 00:00:00
12460,2018-09-26 00:00:00
12461,2018-07-03 00:00:00
12462,2019-07-03 00:00:00
12463,2019-06-06 00:00:00
12464,2019-07-04 00:00:00
12465,2019-07-22 00:00:00
12466,2019-07-22 00:00:00
12467,2019-07-16 00:00:00
12468,2019-06-04 00:00:00
12469,2019-05-27 00:00:00
12470,2019-06-19 00:00:00
12471,2019-07-16 00:00:00
12472,2019-06-27 00:00:00
12473,2019-05-01 00:00:00
12474,2019-06-07 00:00:00
12475,2019-05-28 00:00:00
12476,2019-04-06 00:00:00
12477,2020-05-01 00:00:00
12478,2019-06-13 00:00:00
12479,2019-06-08 00:00:00
12480,2020-06-10 00:00:00
12481,2019-06-25 00:00:00
12482,2019-02-16 00:00:00
12483,2018-08-02 00:00:00
12484,2020-01-10 00:00:00
12485,2019-05-22 00:00:00
12486,2019-06-11 00:00:00
12487,2019-03-14 00:00:00
12488,2020-11-09 00:00:00
12489,2019-07-05 00:00:00
12490,2019-06-04 00:00:00
12491,2019-06-28 00:00:00
12492,2019-06-13 00:00:00
12493,2019-07-17 00:00:00
12494,2019-05-01 00:00:00
12495,2019-05-27 00:00:00
12496,2019-07-08 00:00:00
12497,2019-07-17 00:00:00
12498,2019-07-04 00:00:00
12499,2019-06-17 00:00:00
12500,2019-05-02 00:00:00
12501,2019-06-28 00:00:00
12502,2019-05-28 00:00:00
12503,2019-06-15 00:00:00
12504,2020-06-03 00:00:00
12505,2019-06-06 00:00:00
12506,2019-07-11 00:00:00
12507,2019-07-05 00:00:00
12508,2019-07-17 00:00:00
12509,2020-07-01 00:00:00
12510,2019-06-24 00:00:00
12511,2019-06-27 00:00:00
12512,2020-06-04 00:00:00
12513,2020-06-03 00:00:00
12514,2020-06-03 00:00:00
12515,2020-06-03 00:00:00
12516,2019-07-17 00:00:00
12517,2019-04-25 00:00:00
12518,2019-07-13 00:00:00
12519,2018-09-25 00:00:00
12520,2020-03-09 00:00:00
12521,2019-05-28 00:00:00
12522,2019-07-08 00:00:00
12523,2019-06-05 00:00:00
12524,2019-06-24 00:00:00
12525,2019-06-14 00:00:00
12526,2020-06-12 00:00:00
12527,2019-06-20 00:00:00
12528,2019-05-07 00:00:00
12529,2019-05-25 00:00:00
12530,2018-10-16 00:00:00
12531,2018-10-15 00:00:00
12532,2019-07-18 00:00:00
12533,2019-05-30 00:00:00
12534,2019-06-26 00:00:00
12535,2019-06-25 00:00:00
12536,2021-01-19 00:00:00
12537,2019-03-15 00:00:00
12538,2019-07-01 00:00:00
12539,2019-07-09 00:00:00
12540,2019-04-10 00:00:00
12541,2019-06-08 00:00:00
12542,2019-07-02 00:00:00
12543,2019-07-02 00:00:00
12544,2019-07-09 00:00:00
12545,2019-06-26 00:00:00
